isqno,war,name,locn,campgn,postype,post1,post2,front,depth,time,aeroa,surpa,cea,leada,trnga,morala,logsa,momnta,intela,techa,inita,wina,kmda,crit,quala,resa,mobila,aira,fprepa,wxa,terra,leadaa,plana,surpaa,mana,logsaa,fortsa,deepa,is_hero,war2,war3,war4,war4_theater,dbpedia,cow_warno,cow_warname,war_initiator,parent
11,THIRTY YEAR'S WAR,WITTSTOCK,BRANDENBURG,E GERMANY 1636,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",PD,,0.0,0.0,0.0,Neither side had theater air superiority,Minor surprise achieved by attacker,Somwhat favors the attacker,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,1.0,clear cut,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Wittstock,,,1,
12,THIRTY YEAR'S WAR,BREITENFELD II,SAXONY,SAXONY 1642,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,1.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Breitenfeld_(1642),,,1,
13,THIRTY YEAR'S WAR,ROCROI,FRANCE,NE FRANCE 1643,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,attacker win,1.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Rocroi,,,1,
14,THIRTY YEAR'S WAR,TUTTLINGEN,WUERTTEMBERG,SWABIA 1643,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Substantial surprise achieved by attacker,Favors neither side,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,attacker win,2.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Tuttlingen,,,0,
15,THIRTY YEAR'S WAR,FREIBURG,SWABIA,SWABIA 1644,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",PD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,attacker win,9.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Freiburg,,,1,
16,THIRTY YEAR'S WAR,JANKAU,BOHEMIA,BOHEMIA 1645,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Complete surprise achieved by attacker,Favors neither side,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Jankau,,,0,
17,THIRTY YEAR'S WAR,MERGENTHEIM,BAVARIA,BAVARIA 1645,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Complete surprise achieved by attacker,Favors neither side,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,attacker win,3.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Herbsthausen,,,0,
18,THIRTY YEAR'S WAR,ALLERHEIM (NORDLINGEN II),BAVARIA,BAVARIA 1645,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",PD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,1.0,not clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Nördlingen_(1645),,,1,
19,THIRTY YEAR'S WAR,LENS,FRANCE,NE FRANCE 1648,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Substantial surprise achieved by attacker,Favors neither side,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,attacker win,3.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Lens,,,1,
20,ENGLISH CIVIL WAR,EDGEHILL,ENGLAND,EDGEHILL,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,1.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,ENGLISH CIVIL WAR,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,http://dbpedia.org/resource/Battle_of_Edgehill,,,1,
21,ENGLISH CIVIL WAR,MARSTON MOOR,ENGLAND,YORK,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,attacker win,1.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,ENGLISH CIVIL WAR,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,http://dbpedia.org/resource/Battle_of_Marston_Moor,,,1,
22,ENGLISH CIVIL WAR,TIPPERMUIR,SCOTLAND,ABERDEEN,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,clear cut,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,ENGLISH CIVIL WAR,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,http://dbpedia.org/resource/Battle_of_Tippermuir,,,0,
23,ENGLISH CIVIL WAR,KILSYTH,SCOTLAND,KILSYTH,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,0.8,clear cut,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,ENGLISH CIVIL WAR,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,http://dbpedia.org/resource/Battle_of_Kilsyth,,,1,
24,ENGLISH CIVIL WAR,NEWBURY II,ENGLAND,NEWBURY II,A combination posture involving two distinct/separate postures,HD,PD,1.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,not clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1,ENGLISH CIVIL WAR,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,http://dbpedia.org/resource/Second_Battle_of_Newbury,,,0,
25,ENGLISH CIVIL WAR,NASEBY,ENGLAND,NASEBY,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,clear cut,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,ENGLISH CIVIL WAR,ENGLISH CIVIL WAR,First English Civil War of 1642-1646,,http://dbpedia.org/resource/Battle_of_Naseby,,,1,
26,SECOND ENGLISH CIVIL WAR,PRESTON,ENGLAND,PRESTON,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Substantial surprise achieved by attacker,Somwhat favors the attacker,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,attacker win,,clear cut,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,SECOND ENGLISH CIVIL WAR,SECOND ENGLISH CIVIL WAR,Second English Civil War of 1648-1649,,http://dbpedia.org/resource/Battle_of_Preston_(1648),,,0,
27,SECOND ENGLISH CIVIL WAR,DUNBAR,SCOTLAND,DUNBAR,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Substantial surprise achieved by attacker,Favors neither side,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,0.8,clear cut,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,2.0,0.0,0.0,,0.0,1,SECOND ENGLISH CIVIL WAR,SECOND ENGLISH CIVIL WAR,Second English Civil War of 1648-1649,,http://dbpedia.org/resource/Battle_of_Dunbar_(1650),,,0,
28,SECOND ENGLISH CIVIL WAR,WORCESTER,ENGLAND,WORCESTER,A combination posture involving two distinct/separate postures,HD,PD,1.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Somwhat favors the attacker,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,2.0,clear cut,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,1,SECOND ENGLISH CIVIL WAR,SECOND ENGLISH CIVIL WAR,Second English Civil War of 1648-1649,,http://dbpedia.org/resource/Battle_of_Worcester,,,0,
29,THE FRONDE,ST. ANTOINE,FRANCE,THE FRONDE,A combination posture involving two distinct/separate postures,HD,PD,1.0,1.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,1.0,clear cut,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,THE FRONDE,THE FRONDE,The Fronde of 1648-1653,,http://dbpedia.org/resource/Battle_of_the_Faubourg_St_Antoine,,,0,
30,FRANCO-SPANISH WAR,THE DUNES,SPANISH NETHERLANDS,DUNKIRK 1658,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Minor surprise achieved by attacker,Somwhat favors the attacker,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,2.1,clear cut,1.0,1.0,1.0,0.0,0.0,0.0,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1,FRANCO-SPANISH WAR,FRANCO-SPANISH WAR,Franco–Spanish War of 1635–1659,,http://dbpedia.org/resource/Battle_of_the_Dunes_(1658),,,1,
31,AUSTRO-TURKISH WAR,THE RAAB,HUNGARY,HUNGARY 1664,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,clear cut,,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1,"AUSTRO-TURKISH WAR, 1662-1683","AUSTRO-TURKISH WAR, 1662-1683",Austro-Turkish_War of 1663–1664,,http://dbpedia.org/resource/Battle_of_Saint_Gotthard_(1664),,,1,
32,AUSTRO-TURKISH WAR,VIENNA,AUSTRIA,AUSTRIA 1683,A combination posture involving two distinct/separate postures,HD,PD,1.0,1.0,0.0,Neither side had theater air superiority,Substantial surprise achieved by attacker,Somwhat favors the attacker,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,4.0,clear cut,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,1,"AUSTRO-TURKISH WAR, 1662-1683","AUSTRO-TURKISH WAR, 1662-1683",Great Turkish War of 1683-1699,,http://dbpedia.org/resource/Battle_of_Vienna,,,0,
33,POLISH-TURKISH WAR,CHOCIM II,POLAND,CHOCIM,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",PD,,0.0,0.0,0.0,Neither side had theater air superiority,Complete surprise achieved by attacker,Somwhat favors the attacker,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,,clear cut,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,1,POLISH-TURKISH WAR,POLISH-TURKISH WAR,Polish-Ottoman War of 1672-1676,,http://dbpedia.org/resource/Battle_of_Khotyn_(1673),,,0,
34,DUTCH WAR,SINSHEIM,GERMANY,RHINELAND 1674,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,0.0,,0.0,0.0,0.0,1,DUTCH WAR,DUTCH WAR,Franco-Dutch War of 1672-1678,,http://dbpedia.org/resource/Battle_of_Sinsheim,,,1,
35,DUTCH WAR,SENEF,SPANISH NETHERLANDS,SPANISH NETHERLANDS 1674,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Substantial surprise achieved by attacker,Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,0.0,not clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,DUTCH WAR,DUTCH WAR,Franco-Dutch War of 1672-1678,,http://dbpedia.org/resource/Battle_of_Seneffe,,,1,
36,DUTCH WAR,ENZHEIM,GERMANY,RHINELAND 1674,A combination posture involving two distinct/separate postures,HD,PD,1.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draw,2.4,not clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,1,DUTCH WAR,DUTCH WAR,Franco-Dutch War of 1672-1678,,http://dbpedia.org/resource/Battle_of_Enzheim,,,1,
37,DUTCH WAR,TURCKHEIM,GERMANY,RHINELAND 1675,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Minor surprise achieved by attacker,Favors neither side,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,attacker win,,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,DUTCH WAR,DUTCH WAR,Franco-Dutch War of 1672-1678,,http://dbpedia.org/resource/Battle_of_Turckheim,,,1,
38,DUTCH WAR,FEHRBELLIN,BRANDENBURG,BRANDENBURG 1675,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,6.4,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,DUTCH WAR,DUTCH WAR,Franco-Dutch War of 1672-1678,,http://dbpedia.org/resource/Battle_of_Fehrbellin,,,0,
39,MONMOUTH'S REBELLION,SEDGEMOOR,ENGLAND,SEDGEMOOR,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,Minor surprise achieved by attacker,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,clear cut,,,0.0,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1,MONMOUTH'S REBELLION,MONMOUTH'S REBELLION,Monmouth Rebellion of 1685,,http://dbpedia.org/resource/Battle_of_Sedgemoor,,,1,
40,KING WILLIAM'S WAR,KILLIECRANKIE,SCOTLAND,KILLIECRANKIE,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,,0.0,0.0,0.0,0.0,0.0,2.0,attacker win,0.8,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,KING WILLIAM'S WAR,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,http://dbpedia.org/resource/Battle_of_Killiecrankie,,,1,
41,KING WILLIAM'S WAR,WALCOURT,FRANCE,FLANDERS 1689,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,1,KING WILLIAM'S WAR,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,http://dbpedia.org/resource/Battle_of_Walcourt,,,1,
42,KING WILLIAM'S WAR,FLEURUS,NETHERLANDS,FLEURUS 1690,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,KING WILLIAM'S WAR,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,http://dbpedia.org/resource/Battle_of_Fleurus_(1690),,,1,
43,KING WILLIAM'S WAR,THE BOYNE,IRELAND,BOYNE,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,2.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,KING WILLIAM'S WAR,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,http://dbpedia.org/resource/Battle_of_the_Boyne,,,0,
44,KING WILLIAM'S WAR,AUGHRIM,IRELAND,AUGHRIM,A combination posture involving two distinct/separate postures,HD,PD,1.0,1.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,1.2,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,KING WILLIAM'S WAR,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,http://dbpedia.org/resource/Battle_of_Aughrim,,,0,
45,KING WILLIAM'S WAR,STEENKERKE,SPANISH NETHERLANDS,FLANDERS 1692,A combination posture involving two distinct/separate postures,HD,PD,1.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,clear cut,0.0,,0.0,0.0,0.0,0.0,,,1.0,0.0,,0.0,,,1,KING WILLIAM'S WAR,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,http://dbpedia.org/resource/Battle_of_Steenkerque,,,0,
